2026-06-22 15:15:11.206 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Async-QueueProcessor]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.206 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Async-QueueProcessor
2026-06-22 15:15:11.207 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Validate]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.207 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Validate
2026-06-22 15:15:11.207 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-When]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.207 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-When
2026-06-22 15:15:11.207 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Model]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.207 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Model
2026-06-22 15:15:11.207 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Test-Application-Case]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.207 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Test-Application-Case
2026-06-22 15:15:11.207 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-AI-Agent]: autoDerived=[pyRuleSet, pyRuleSetVersion, pySPRuleSetName], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.207 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-AI-Agent
2026-06-22 15:15:11.207 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Connect-REST]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.207 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Connect-REST
2026-06-22 15:15:11.208 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-RuleSet-Branch]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-06-22 15:15:11.208 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-RuleSet-Branch
2026-06-22 15:15:11.208 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - RuleTypeBuilderRegistry initialized: 32 builder(s): [Rule-Declare-DecisionTable, Rule-Test-Application-BusinessAction, Rule-Obj-Property, Rule-CorrType, Rule-Obj-ServiceLevel, Rule-ClassMetadata, Rule-Obj-Activity, Rule-Obj-Class, Rule-Obj-CaseType, Rule-Declare-Pages, Rule-UI-View, Rule-Obj-FlowAction, Rule-Obj-AttachmentCategory, Rule-Obj-Report-Definition, Rule-Connect-GenerativeAI, Rule-Obj-Model, Rule-Obj-When, Rule-Notification, Rule-RuleSet-Branch, Rule-Test-Application-Case, Rule-Obj-Flow, Rule-Obj-Corr, Rule-AI-Agent, Rule-Service-MCP, Rule-Test-Unit-Case, Rule-AI-Tool, Rule-Connect-REST, Rule-Edit-Validate, Rule-Async-QueueProcessor, Rule-Obj-Validate, Rule-Async-JobScheduler, Rule-Obj-FieldValue]
2026-06-22 15:15:11.234 INFO  [main] c.p.m.t.validate.JsonSchemaValidator - JsonSchemaValidator initialized with 32 schema(s): [Rule-Declare-Pages, Rule-AI-Tool, Rule-Obj-Report-Definition, Rule-Obj-CaseType, Rule-Obj-Activity, Rule-ClassMetadata, Rule-Obj-ServiceLevel, Rule-Service-MCP, Rule-Declare-DecisionTable, Rule-Obj-Corr, Rule-Edit-Validate, Rule-Test-Application-BusinessAction, Rule-CorrType, Rule-Obj-Flow, Rule-Obj-AttachmentCategory, Rule-Obj-FieldValue, Rule-Async-JobScheduler, Rule-Obj-Property, Rule-UI-View, Rule-Obj-Class, Rule-Notification, Rule-Test-Unit-Case, Rule-Connect-GenerativeAI, Rule-Obj-FlowAction, Rule-Async-QueueProcessor, Rule-Obj-Validate, Rule-Obj-When, Rule-Obj-Model, Rule-Test-Application-Case, Rule-AI-Agent, Rule-Connect-REST, Rule-RuleSet-Branch]
2026-06-22 15:15:11.235 INFO  [main] c.p.m.t.v.RulePayloadValidator - v2 RulePayloadValidator initialized with schema-based validation. Supported types: [Rule-Declare-Pages, Rule-AI-Tool, Rule-Obj-Report-Definition, Rule-Obj-CaseType, Rule-Obj-Activity, Rule-ClassMetadata, Rule-Obj-ServiceLevel, Rule-Service-MCP, Rule-Declare-DecisionTable, Rule-Obj-Corr, Rule-Edit-Validate, Rule-Test-Application-BusinessAction, Rule-CorrType, Rule-Obj-Flow, Rule-Obj-AttachmentCategory, Rule-Obj-FieldValue, Rule-Async-JobScheduler, Rule-Obj-Property, Rule-UI-View, Rule-Obj-Class, Rule-Notification, Rule-Test-Unit-Case, Rule-Connect-GenerativeAI, Rule-Obj-FlowAction, Rule-Async-QueueProcessor, Rule-Obj-Validate, Rule-Obj-When, Rule-Obj-Model, Rule-Test-Application-Case, Rule-AI-Agent, Rule-Connect-REST, Rule-RuleSet-Branch]
2026-06-22 15:15:11.241 INFO  [main] com.pega.mcp.tools.SkillLoader - Loading skills from filesystem: /tmp/opencode/ai-authoring-plugins-cache-simple/pega-agent-plugins/infinity-rules-mcp/codex-plugin/pega-skills
2026-06-22 15:15:11.297 INFO  [main] com.pega.mcp.tools.SkillLoader - Loaded 760 skills from filesystem (source: env (PEGA_SKILLS_PATH=/tmp/opencode/ai-authoring-plugins-cache-simple/pega-agent-plugins/infinity-rules-mcp/codex-plugin/pega-skills))
2026-06-22 15:15:11.297 INFO  [main] com.pega.mcp.tools.SkillTools - Loaded 760 skills from env (PEGA_SKILLS_PATH=/tmp/opencode/ai-authoring-plugins-cache-simple/pega-agent-plugins/infinity-rules-mcp/codex-plugin/pega-skills) source
2026-06-22 15:15:11.446 INFO  [main] c.p.m.p.SkillPromptConfiguration - Registered 0 dynamic MCP prompts from skills
2026-06-22 15:15:11.647 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-06-22 15:15:11.648 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 26
2026-06-22 15:15:11.649 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-06-22 15:15:11.649 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-06-22 15:15:11.650 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-06-22 15:15:11.650 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-06-22 15:15:11.793 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - Started InfinityRulesMcpApplication in 1.845 seconds (process running for 2.269)
2026-06-22 15:15:11.796 INFO  [main] c.pega.mcp.config.PegaConfigLogger - Pega configuration resolved:
2026-06-22 15:15:11.796 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   base-url          = https://lab-17511-us-east-1.internal.pegalabs.io
2026-06-22 15:15:11.796 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   servlet-name      = <not set>
2026-06-22 15:15:11.796 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   oauth.client-id   = 34233104330833666523
2026-06-22 15:15:11.796 INFO  [main] c.pega.mcp.config.PegaConfigLogger -   skills.path       = /tmp/opencode/ai-authoring-plugins-cache-simple/pega-agent-plugins/infinity-rules-mcp/codex-plugin/pega-skills
